DiseaseId	Class
C0153690	C04
C3839868	C04
C0153572	C04
C1879321	C04
C0010701	C04
C0280252	C04
C2314896	C04
C0043346	C04
C0334444	C04
C3489398	C04
C1332977	C04
C0154089	C04
C0347016	C04
C2049069	C04
C3812899	C04
C0281361	C04
C0042138	C04
C0262587	C04
C1321546	C04
C2986691	C04
C0585362	C04
C0280201	C04
C1368295	C04
C0699885	C04
C0005967	C04
C0279982	C04
C0038529	C04
C1334455	C04
C1515283	C04
C4725093	C04
C0080032	C04
C1302424	C04
C0476147	C04
C0007107	C04
C0023448	C04
C1370658	C04
C1319315	C04
C0221025	C04
C0600114	C04
C2931501	C04
C1332982	C04
C0334280	C04
C2987516	C04
C1135868	C04
C0334309	C04
C4086159	C04
C0311361	C04
C0004426	C04
C0035412	C04
C1516858	C04
C1275237	C04
C4721698	C04
C4049328	C04
C4018860	C04
C4022998	C04
C0334605	C04
C4528210	C04
C1516857	C04
C0023462	C04
C0278717	C04
C1719404	C04
C0079758	C04
C1867774	C04
C1370419	C04
C0205833	C04
C0345907	C04
C1762616	C04
C1292771	C04
C1510784	C04
C0751304	C04
C1332900	C04
C0432361	C04
C0205834	C04
C1704216	C04
C3274592	C04
C0280317	C04
C1334154	C04
C0349540	C04
C0457536	C04
C1851124	C04
C1412004	C04
C0153373	C04
C2347762	C04
C0751339	C04
C1332171	C04
C3899369	C04
C1838670	C04
C1321872	C04
C0751552	C04
C1332243	C04
C0334254	C04
C4727773	C04
C0751374	C04
C0024954	C04
C0948101	C04
C1335911	C04
C0280787	C04
C0151468	C04
C1292769	C04
C4284013	C04
C1096154	C04
C0238461	C04
C0220647	C04
C2145472	C04
C0206639	C04
C0153942	C04
C0220650	C04
C0026683	C04
C1860850	C04
C1333984	C04
C0334250	C04
C0347509	C04
C0279651	C04
C0015414	C04
C1335701	C04
C0280313	C04
C0007112	C04
C0278762	C04
C0006131	C04
C0280328	C04
C0278883	C04
C0220641	C04
C0278474	C04
C0085136	C04
C0153677	C04
C0153567	C04
C0036095	C04
C2986664	C04
C0877849	C04
C1142081	C04
C0026976	C04
C1518716	C04
C0013312	C04
C0220630	C04
C0015558	C04
C2239246	C04
C0349633	C04
C1708187	C04
C2711656	C04
C0347129	C04
C4528668	C04
C1334615	C04
C0007124	C04
C4331229	C04
C0278681	C04
C1332201	C04
C1332205	C04
C0334473	C04
C0547065	C04
C1266128	C04
C0153396	C04
C4551687	C04
C0334252	C04
C0474809	C04
C1266156	C04
C1866398	C04
C0278622	C04
C0432363	C04
C2985220	C04
C0007847	C04
C0023467	C04
C0026640	C04
C0278993	C04
C1319314	C04
C0279661	C04
C0011428	C04
C1257799	C04
C1519176	C04
C0153453	C04
C0751366	C04
C0334448	C04
C1368816	C04
C0013403	C04
C1168328	C04
C1335107	C04
C1578917	C04
C0474808	C04
C1861848	C04
C1959588	C04
C4041089	C04
C0302329	C04
C0346026	C04
C0278802	C04
C0206729	C04
C0238462	C04
C1266176	C04
C4520821	C04
C0334580	C04
C0400990	C04
C0206629	C04
C0152018	C04
C0153614	C04
C2698204	C04
C0338078	C04
C0346429	C04
C1336077	C04
C0154051	C04
C4024988	C04
C1306247	C04
C0235782	C04
C0011993	C04
C0015306	C04
C1136033	C04
C0085648	C04
C0024305	C04
C1333100	C04
C0242787	C04
C0349619	C04
C0013291	C04
C0030849	C04
C0851140	C04
C0522628	C04
C0014536	C04
C0030422	C04
C0346167	C04
C3163843	C04
C0334664	C04
C4317089	C04
C0948216	C04
C0278650	C04
C0347023	C04
C4024276	C04
C1858592	C04
C1266147	C04
C0022079	C04
C0334569	C04
C0740372	C04
C0153492	C04
C1527349	C04
C1704613	C04
C1827970	C04
C0700199	C04
C0023827	C04
C4745160	C04
C1335110	C04
C3839061	C04
C1275217	C04
C1704327	C04
C0018915	C04
C0431121	C04
C0036219	C04
C0334582	C04
C0334245	C04
C1306459	C04
C1266157	C04
C1335693	C04
C1333944	C04
C0432562	C04
C0497550	C04
C1321871	C04
C1519214	C04
C1840396	C04
C0598798	C04
C4083056	C04
C1511934	C04
C4086158	C04
C1335122	C04
C4750858	C04
C3897738	C04
C0376545	C04
C0007117	C04
C0206724	C04
C1335483	C04
C4721414	C04
C1335976	C04
C0334581	C04
C0238348	C04
C0154084	C04
C1849385	C04
C4724972	C04
C0343082	C04
C0266985	C04
C1708349	C04
C0600176	C04
C4733537	C04
C0347001	C04
C0948976	C04
C1275293	C04
C0917890	C04
C0391970	C04
C0346787	C04
C0563307	C04
C1266109	C04
C0852709	C04
C4013716	C04
C1854365	C04
C1516865	C04
C0206625	C04
C1332079	C04
C4725030	C04
C0334233	C04
C1333383	C04
C0279591	C04
C0221027	C04
C0345613	C04
C1720008	C04
C0432284	C04
C1832940	C04
C0730303	C04
C0442880	C04
C1862304	C04
C0442872	C04
C0280131	C04
C0278510	C04
C0456863	C04
C0014170	C04
